================================================================================
VALIDACIÓN DEL ANALIZADOR LÉXICO - JONATHAN PACALLA
================================================================================
Fecha y Hora: 21 de June de 2026 - 18:33:19
Archivo Analizado: PruebaJonathanPacalla.java
Tokens del Integrante: Palabras reservadas (IF, ELSE, FOR, WHILE, CLASS, PUBLIC, PRIVATE, RETURN, INT, FLOAT, DOUBLE, LONG, SHORT, BYTE, CHAR, BOOLEAN, BOOLEAN_LITERAL), Operadores Bitwise (BIT_AND, BIT_OR, BIT_XOR, LSHIFT, RSHIFT, BIT_NOT), Operador Ternario (QUESTION)
================================================================================

[CÓDIGO FUENTE ANALIZADO]
--------------------------------------------------------------------------------
public class PruebaJonathanPacalla {
    public static void main(String[] args) {
        // Palabras reservadas de Jonathan Pacalla
        if (true) {
            int a = 5;
            float b = 2.5f;
            double c = 3.14;
            long d = 100L;
            short e = 10;
            byte f = 1;
            char g = 'A';
            boolean h = true;
            boolean i = false;
            
            // Operadores bitwise de Jonathan Pacalla
            int bitwise_and = a & 3;     // BIT_AND
            int bitwise_or = a | 2;      // BIT_OR
            int bitwise_xor = a ^ 1;     // BIT_XOR
            int bitwise_not = ~a;        // BIT_NOT
            int left_shift = a << 1;     // LSHIFT
            int right_shift = a >> 1;    // RSHIFT
            
            // Operador ternario de Jonathan Pacalla
            int max = (a > 3) ? a : 3;   // QUESTION
            
            System.out.println("Prueba Jonathan Pacalla:");
            System.out.println("Palabras reservadas: if, int, float, double, long, short, byte, char, boolean, true, false");
            System.out.println("Operadores bitwise:");
            System.out.println("a & 3 = " + bitwise_and);
            System.out.println("a | 2 = " + bitwise_or);
            System.out.println("a ^ 1 = " + bitwise_xor);
            System.out.println("~a = " + bitwise_not);
            System.out.println("a << 1 = " + left_shift);
            System.out.println("a >> 1 = " + right_shift);
            System.out.println("Operador ternario: max = " + max);
        }
    }
}

--------------------------------------------------------------------------------

[TOKENS RECONOCIDOS]
--------------------------------------------------------------------------------
Línea    Tipo de Token        Valor                     Descripción
--------------------------------------------------------------------------------
1        PUBLIC               public                    Palabra reservada: public
1        CLASS                class                     Palabra reservada: class
1        IDENTIFIER           PruebaJonathanPacalla     Identificador (variable/función)
1        LBRACE               {                         Llave de apertura
2        PUBLIC               public                    Palabra reservada: public
2        IDENTIFIER           static                    Identificador (variable/función)
2        IDENTIFIER           void                      Identificador (variable/función)
2        IDENTIFIER           main                      Identificador (variable/función)
2        LPAREN               (                         Paréntesis de apertura
2        IDENTIFIER           String                    Identificador (variable/función)
2        LBRACKET             [                         Token desconocido
2        RBRACKET             ]                         Token desconocido
2        IDENTIFIER           args                      Identificador (variable/función)
2        RPAREN               )                         Paréntesis de cierre
2        LBRACE               {                         Llave de apertura
3        COMMENT              // Palabras reservadas de Jonathan Pacalla Token desconocido
4        IF                   if                        Palabra reservada: if
4        LPAREN               (                         Paréntesis de apertura
4        BOOLEAN_LITERAL      true                      Literal booleano (true/false)
4        RPAREN               )                         Paréntesis de cierre
4        LBRACE               {                         Llave de apertura
5        INT                  int                       Palabra reservada: tipo int
5        IDENTIFIER           a                         Identificador (variable/función)
5        ASSIGN               =                         Operador de asignación (=)
5        INTEGER_LITERAL      5                         Literal entero
5        SEMICOLON            ;                         Punto y coma
6        FLOAT                float                     Palabra reservada: tipo float
6        IDENTIFIER           b                         Identificador (variable/función)
6        ASSIGN               =                         Operador de asignación (=)
6        FLOAT_LITERAL        2.5                       Token desconocido
6        IDENTIFIER           f                         Identificador (variable/función)
6        SEMICOLON            ;                         Punto y coma
7        DOUBLE               double                    Palabra reservada: tipo double
7        IDENTIFIER           c                         Identificador (variable/función)
7        ASSIGN               =                         Operador de asignación (=)
7        FLOAT_LITERAL        3.14                      Token desconocido
7        SEMICOLON            ;                         Punto y coma
8        LONG                 long                      Palabra reservada: tipo long
8        IDENTIFIER           d                         Identificador (variable/función)
8        ASSIGN               =                         Operador de asignación (=)
8        INTEGER_LITERAL      100                       Literal entero
